"","NBL","RT","WT","BRAIN"
"B_cells",0.9186,0.4777,0.5432,0.5285
"Cytotoxic_cells",0.7712,0.4795,0.7296,0.155
"Dendritic_cells",0.5538,0.2492,0.8981,0.6705
"Eosinophils",0.3202,0.3619,0.0838,0.4227
"Macrophages",0.5459,0.3244,0.9711,0.5998
"Mast_cells",0.0128,0.0061,0.2291,0.6593
"NK_cells",0.0116,0.6063,0.5199,0.2245
"Neutrophils",0.0671,0.9247,0.5036,0.2838
"T_cells_CD4",0.9325,0.3948,0.006,0.9909
"T_cells_CD8",0.7083,0.3054,0.004,0.0933
"T_cells_gamma_delta",0.0067,0.5006,0.0761,0.8574
"T_regulatory_cells",0.6172,0.3915,0.723,0.9753
"Macrophages_M1",0.8395,0.4213,0.5867,0.3807
"Macrophages_M2",0.859,0.5968,0.8551,0.5954
"Endothelial",0.1776,0.0814,0.3869,0.9962
"Fibroblasts",0.7947,0.262,0.0477,0.4057
"Monocytes",0.3863,0.561,0.7615,0.5273
"Plasma_cells",0.2292,0.9747,0.8104,0.6258
"Immune_Score",0.4866,0.9251,0.0078,0.4814
